author,file,label,lat,license,lon,observation_id,observed_on,page_id,photo_id,source,source_url
sowjaka,ai_dataset/positive/inat_396299530_726765981.jpg,niscalo,55.2998194444,cc-by,58.1368722222,396299530,2026-08-25,,726765981,iNaturalist,https://www.inaturalist.org/observations/396299530
irinahohryakova,ai_dataset/positive/inat_394249747_722742363.jpg,niscalo,57.853475,cc-by,55.8161166667,394249747,2026-08-24,,722742363,iNaturalist,https://www.inaturalist.org/observations/394249747
tyler_hacking,ai_dataset/positive/inat_398006417_730064547.jpg,niscalo,40.67042992,cc-by,-110.97344082,398006417,2026-09-06,,730064547,iNaturalist,https://www.inaturalist.org/observations/398006417
"<a href=""//commons.wikimedia.org/wiki/User:Argenberg"" title=""User:Argenberg"">Vyacheslav Argenberg</a>",ai_dataset/negative/commons_178332619.jpg,no_niscalo,,cc by 4.0,,,,178332619,,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Ergaki,_Lake_Lazurnoye_and_pine_forest,_Sayan_Mountains,_Siberia,_Russia.jpg"
Z3lvs,ai_dataset/negative/commons_142699977.jpg,no_niscalo,,cc0,,,,142699977,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ancient_Bristlecone_Pine_Forest_04_30_2022_19.jpg
Z3lvs,ai_dataset/negative/commons_142699896.jpg,no_niscalo,,cc0,,,,142699896,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Ancient_Bristlecone_Pine_Forest_04_30_2022_4.jpg
"<a href=""//commons.wikimedia.org/wiki/User:Z3lvs"" title=""User:Z3lvs"">Z3lvs</a>",ai_dataset/negative/commons_158766286.jpg,no_niscalo,,cc0,,,,158766286,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Northeast_India-Myanmar_Pine_Forests_Ecoregion_-_Relief_Map.png
yazykov_mv,ai_dataset/positive/inat_400165512_734276679.jpg,niscalo,56.4338111667,cc-by,44.8536415,400165512,2026-09-13,,734276679,iNaturalist,https://www.inaturalist.org/observations/400165512
"<a href=""//commons.wikimedia.org/wiki/User:Rama"" title=""User:Rama"">Rama</a>",ai_dataset/negative/commons_64919421.jpg,no_niscalo,,cc by-sa 3.0 fr,,,,64919421,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Landscape_with_Rocks_and_Pine_Forest-AA_281-IMG_8992.JPG
bagli,ai_dataset/positive/inat_396193510_726548618.jpg,niscalo,54.2119619722,cc-by,17.030552,396193510,2026-08-29,,726548618,iNaturalist,https://www.inaturalist.org/observations/396193510
tyler_hacking,ai_dataset/positive/inat_398006417_730064527.jpg,niscalo,40.67042992,cc-by,-110.97344082,398006417,2026-09-06,,730064527,iNaturalist,https://www.inaturalist.org/observations/398006417
sowjaka,ai_dataset/positive/inat_396162690_726491427.jpg,niscalo,55.2997777778,cc-by,58.1369222222,396162690,2026-08-25,,726491427,iNaturalist,https://www.inaturalist.org/observations/396162690
alyona_osipova,ai_dataset/positive/inat_397382251_728840781.jpg,niscalo,57.05325,cc-by,65.9533383333,397382251,2026-09-04,,728840781,iNaturalist,https://www.inaturalist.org/observations/397382251
davidsandler,ai_dataset/positive/inat_399248674_732477955.jpg,niscalo,48.4105625997,cc-by,15.1308064,399248674,2026-09-11,,732477955,iNaturalist,https://www.inaturalist.org/observations/399248674
"<a href=""//commons.wikimedia.org/wiki/User:Alexkom000"" title=""User:Alexkom000"">Alexkom000</a>",ai_dataset/negative/commons_176164693.jpg,no_niscalo,,cc by 4.0,,,,176164693,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:2025-10-05_Pine_forest_north_of_Ferrel_4.jpg
"<a href=""//commons.wikimedia.org/wiki/User:Argenberg"" title=""User:Argenberg"">Vyacheslav Argenberg</a>",ai_dataset/negative/commons_178676388.jpg,no_niscalo,,cc by 4.0,,,,178676388,,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Ergaki,_Artists'_Lake_and_pine_forest,_Sayan_Mountains,_Russia.jpg"
"<a href=""//commons.wikimedia.org/wiki/User:IvoShandor"" title=""User:IvoShandor"">IvoShandor</a>",ai_dataset/negative/commons_2888821.jpg,no_niscalo,,cc by 2.5,,,,2888821,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:White_Pines_Forest_State_Park_Pine_Stand4.JPG
jonas75444,ai_dataset/positive/inat_396375982_726915292.jpg,niscalo,47.4991033333,cc-by,12.7059333333,396375982,2026-09-01,,726915292,iNaturalist,https://www.inaturalist.org/observations/396375982
"<a href=""//commons.wikimedia.org/wiki/User:Z3lvs"" title=""User:Z3lvs"">Z3lvs</a>",ai_dataset/negative/commons_171194219.jpg,no_niscalo,,cc0,,,,171194219,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Central_American_Pine-Oak_Forests_Ecoregion_-_Relief_Map_Angle.png
alyona_osipova,ai_dataset/positive/inat_397382251_728840798.jpg,niscalo,57.05325,cc-by,65.9533383333,397382251,2026-09-04,,728840798,iNaturalist,https://www.inaturalist.org/observations/397382251
yggdrasi,ai_dataset/positive/inat_399052528_732100112.jpg,niscalo,40.6935554,cc-by,-110.9594541,399052528,2026-09-09,,732100112,iNaturalist,https://www.inaturalist.org/observations/399052528
"<a href=""//commons.wikimedia.org/w/index.php?title=User:Dongminhhiep&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Dongminhhiep (page does not exist)"">Dongminhhiep</a>",ai_dataset/negative/commons_79377907.jpg,no_niscalo,,cc by-sa 4.0,,,,79377907,,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Pine_forest_in_Altkönig.jpg
